oil block number,licensee,status,oil field name,developed/undeveloped,type,estimated Longitude,estimated Latitude
OML 85,Chevron,Offshore licensed,Ato North,undeveloped,Oil or Oil/Gas,5.82,3.52
OPL 263,,Offshore licensed,,,,5.3,4.18
OML 127,Famfa Oil,Offshore licensed,AGBAMI,developed,Oil or Oil/Gas,5.93,3.22
OML 127,Famfa Oil,Offshore licensed,EKOLI,developed,Oil or Oil/Gas,5.97,3.2
OML 127,Famfa Oil,Offshore licensed,Ikija,undeveloped,Oil or Oil/Gas,5.88,3.25
OML 128,Statoil,Offshore licensed,,,,5.78,3.35
OML 130,South Atlantic Petroleum,Offshore licensed,Nnwa,undeveloped,Gas or Gas/Condensate,5.55,3.12
OML 130,South Atlantic Petroleum,Offshore licensed,Doro,undeveloped,Gas or Gas/Condensate,5.6,3.1
OML 130,South Atlantic Petroleum,Offshore licensed,Bolia,undeveloped,Oil or Oil/Gas,5.65,3.12
OML 130,South Atlantic Petroleum,Offshore licensed,Chota,undeveloped,Oil or Oil/Gas,5.75,3.15
OML 130,South Atlantic Petroleum,Offshore licensed,Preowei,undeveloped,Oil or Oil/Gas,5.78,3.12
OML 130,South Atlantic Petroleum,Offshore licensed,Akpo,undeveloped,Oil or Oil/Gas,5.83,3.05
OML 130,South Atlantic Petroleum,Offshore licensed,Egina,undeveloped,Oil or Oil/Gas,5.73,3.0
OML 130,South Atlantic Petroleum,Offshore licensed,Sehki,undeveloped,Oil or Oil/Gas,5.45,3.18
OML 130,South Atlantic Petroleum,Offshore licensed,Ngolo,undeveloped,Oil or Oil/Gas,5.62,3.2
OML 130,South Atlantic Petroleum,Offshore licensed,Bilah,undeveloped,Oil or Oil/Gas,5.38,3.12
OML 130,South Atlantic Petroleum,Offshore licensed,Ebitemi,undeveloped,Gas or Gas/Condensate,5.9,3.05
OML 130,South Atlantic Petroleum,Offshore licensed,Kuro,undeveloped,Gas or Gas/Condensate,5.57,3.02
OPL 247,Heritage Oil Corp.,Offshore licensed,,,,7.05,3.3
OPL 244,Eni,Offshore licensed,,,,5.6,2.78
OML 222,Total,Offshore licensed,Okpuk,undeveloped,Oil or Oil/Gas,7.95,3.52
OML 223,Total,Offshore licensed,,,,7.62,3.52
OPL 222,Total,Offshore licensed,,,,7.28,3.6
OPL 256,Devon Energy,Offshore licensed,,,,5.88,2.45
OPL 242,Devon Energy,Offshore licensed,,,,5.42,3.28
OML 103,ConOil,Onshore licensed,OBE,developed,Oil or Oil/Gas,5.22,5.5
OML 103,ConOil,Onshore licensed,EBISAN,developed,Oil or Oil/Gas,5.27,5.47
OML 103,ConOil,Onshore licensed,BELLA,developed,Oil or Oil/Gas,5.3,5.47
OML 103,ConOil,Onshore licensed,OMURO,developed,Oil or Oil/Gas,5.33,5.46
OML 40,Shell,Onshore licensed,OPUAMA,developed,Oil or Oil/Gas,5.73,5.43
OML 40,Shell,Onshore licensed,GBETIOKUN,developed,Oil or Oil/Gas,5.9,5.41
OML 40,Shell,Onshore licensed,AROH,developed,Oil or Oil/Gas,5.82,5.43
OML 95,Chevron,Onshore licensed,PARABE,developed,Oil or Oil/Gas,5.55,5.5
OML 95,Chevron,Onshore licensed,MINA,developed,Oil or Oil/Gas,5.53,5.48
OML 95,Chevron,Onshore licensed,Gbadogo,undeveloped,Oil or Oil/Gas,5.58,5.52
OML 95,Chevron,Onshore licensed,Ebiya,undeveloped,Oil or Oil/Gas,5.47,5.55
OML 110,Cavendish,Onshore licensed,,,,5.43,5.57
OML 30,Chevron,Onshore licensed,MALU,developed,Oil or Oil/Gas,5.48,5.47
OML 30,Chevron,Onshore licensed,OPOLO,developed,Oil or Oil/Gas,5.5,5.45
OML 30,Chevron,Onshore licensed,UKPOKITI,developed,Oil or Oil/Gas,5.52,5.46
OML 30,Chevron,Onshore licensed,IBAN,developed,Oil or Oil/Gas,5.54,5.48
OML 30,Chevron,Onshore licensed,Ruta,undeveloped,Oil or Oil/Gas,5.52,5.48
OML 30,Chevron,Onshore licensed,Azama,undeveloped,Oil or Oil/Gas,5.48,5.46
OML 30,Chevron,Onshore licensed,Abo North,undeveloped,Oil or Oil/Gas,5.5,5.44
OML 108,SEPCOL,Onshore licensed,,,,5.28,5.08
OML 91,Chevron,Onshore licensed,Kama,undeveloped,Oil or Oil/Gas,5.28,5.05
OML 89,Chevron,Onshore licensed,OFON,developed,Oil or Oil/Gas,5.3,5.02
OML 89,Chevron,Onshore licensed,Obokun,undeveloped,Oil or Oil/Gas,5.32,4.98
OML 96,Dubri,Onshore licensed,OVIA,developed,Oil or Oil/Gas,5.98,5.68
OML 96,Dubri,Onshore licensed,GILLI GILLI,developed,Oil or Oil/Gas,5.92,5.63
OML 96,Dubri,Onshore licensed,OKI,developed,Oil or Oil/Gas,5.97,5.63
OML 111,NPDC,Onshore licensed,OREDO,developed,Oil or Oil/Gas,6.18,5.65
OML 111,NPDC,Onshore licensed,OLOGBO,developed,Oil or Oil/Gas,6.15,5.68
OML 111,NPDC,Onshore licensed,OGHAREFE,developed,Oil or Oil/Gas,6.22,5.62
OML 98,PanOcean,Onshore licensed,OLOGBO,developed,Oil or Oil/Gas,6.18,5.7
OML 98,PanOcean,Onshore licensed,OGHAREFE,developed,Oil or Oil/Gas,6.24,5.63
OML 98,PanOcean,Onshore licensed,ASABORO SOUTH,developed,Oil or Oil/Gas,6.28,5.73
OML 98,PanOcean,Onshore licensed,OREDO,developed,Oil or Oil/Gas,6.2,5.67
OML 38,Shell,Onshore licensed,Oben North,undeveloped,Oil or Oil/Gas,6.32,5.77
OML 38,Shell,Onshore licensed,Oben,undeveloped,Oil or Oil/Gas,6.35,5.75
OML 4,Shell,Onshore licensed,OBEN NORTH,developed,Oil or Oil/Gas,6.38,5.78
OML 34,Shell,Onshore licensed,KOKORI,developed,Oil or Oil/Gas,5.8,5.4
OML 34,Shell,Onshore licensed,AFIESERE,developed,Oil or Oil/Gas,5.75,5.38
OML 34,Shell,Onshore licensed,ERIEMU,developed,Oil or Oil/Gas,5.78,5.35
OML 34,Shell,Onshore licensed,OWEH,developed,Oil or Oil/Gas,5.82,5.36
OML 34,Shell,Onshore licensed,SAPELE,developed,Oil or Oil/Gas,5.87,5.42
OML 34,Shell,Onshore licensed,AMUKPE,developed,Oil or Oil/Gas,5.83,5.43
OML 35,Shell,Onshore licensed,OGHARA,developed,Oil or Oil/Gas,5.7,5.52
OML 41,Shell,Onshore licensed,JATIJIM,developed,Oil or Oil/Gas,5.97,5.42
OML 41,Shell,Onshore licensed,OBODO,developed,Oil or Oil/Gas,5.95,5.4
OML 57,,Onshore licensed,UTONANA,developed,Oil or Oil/Gas,5.98,5.28
OML 57,,Onshore licensed,JONES CREEK,developed,Oil or Oil/Gas,5.95,5.25
OML 49,Chevron,Onshore licensed,DELTA,developed,Oil or Oil/Gas,5.88,5.3
OML 49,Chevron,Onshore licensed,MEJO,developed,Oil or Oil/Gas,5.82,5.28
OML 49,Chevron,Onshore licensed,GBOKODA,developed,Oil or Oil/Gas,5.8,5.25
OML 49,Chevron,Onshore licensed,KITO,developed,Oil or Oil/Gas,5.88,5.22
OML 49,Chevron,Onshore licensed,ABITEYE,developed,Oil or Oil/Gas,5.93,5.2
OML 49,Chevron,Onshore licensed,TAPA,developed,Oil or Oil/Gas,5.78,5.22
OML 49,Chevron,Onshore licensed,OPUEKEBA,developed,Oil or Oil/Gas,5.73,5.3
OML 49,Chevron,Onshore licensed,BENIN RIVER,developed,Oil or Oil/Gas,5.72,5.28
OML 49,Chevron,Onshore licensed,DIBI,developed,Oil or Oil/Gas,5.92,5.22
OML 49,Chevron,Onshore licensed,ESCRAVOS BEACH,developed,Oil or Oil/Gas,5.18,5.4
OML 49,Chevron,Onshore licensed,MAKARABA,developed,Oil or Oil/Gas,5.97,5.32
OML 49,Chevron,Onshore licensed,ABIGBORODO,developed,Oil or Oil/Gas,5.98,5.35
OML 49,Chevron,Onshore licensed,GAGNARA,developed,Oil or Oil/Gas,5.95,5.18
OML 49,Chevron,Onshore licensed,EGWA,developed,Oil or Oil/Gas,5.97,5.17
OML 43,Shell,Onshore licensed,AFIESERE,developed,Oil or Oil/Gas,5.85,5.1
OML 43,Shell,Onshore licensed,AFREMO,developed,Oil or Oil/Gas,5.83,5.08
OML 43,Shell,Onshore licensed,FORCADOS YOKRI,developed,Oil or Oil/Gas,5.8,5.05
OML 43,Shell,Onshore licensed,MESAN,developed,Oil or Oil/Gas,5.88,5.03
OML 43,Shell,Onshore licensed,MEFA,developed,Oil or Oil/Gas,5.8,5.1
OML 90,Addax,Returned to NNPC,SHOKOLOKO,developed,Oil or Oil/Gas,6.68,4.52
OML 90,Addax,Returned to NNPC,ASHA,developed,Oil or Oil/Gas,6.76,4.5
OML 90,Addax,Returned to NNPC,OKWORI,developed,Oil or Oil/Gas,6.8,4.48
OML 90,Addax,Returned to NNPC,NDA,developed,Oil or Oil/Gas,6.77,4.47
OPL 220,Addax,Returned to NNPC,Odum,undeveloped,Oil or Oil/Gas,6.62,4.42
OPL 220,Addax,Returned to NNPC,Okirima,undeveloped,Gas or Gas/Condensate,6.55,4.43
OPL 220,Addax,Returned to NNPC,Asanga,undeveloped,Oil or Oil/Gas,6.58,4.4
OPL 226,Addax,Returned to NNPC,Bala,undeveloped,Oil or Oil/Gas,6.47,4.5
OPL 226,Addax,Returned to NNPC,HJS,undeveloped,Gas or Gas/Condensate,6.45,4.48
OPL 238,Sunlink,Returned to NNPC,,,,6.52,4.55
OML 124,Addax,Returned to NNPC,OSSU,developed,Oil or Oil/Gas,7.52,5.02
OML 124,Addax,Returned to NNPC,JISIKE,developed,Oil or Oil/Gas,7.45,5.05
OML 123,Addax,Returned to NNPC,AKAM,developed,Oil or Oil/Gas,7.8,4.9
OML 123,Addax,Returned to NNPC,UKPAM,developed,Oil or Oil/Gas,7.85,4.88
OML 26,Shell,Onshore licensed,OLOMORO,developed,Oil or Oil/Gas,5.87,5.1
OML 26,Shell,Onshore licensed,ADIBAWA,developed,Oil or Oil/Gas,5.85,5.12
OML 26,Shell,Onshore licensed,ADIBAWA N.E.,developed,Oil or Oil/Gas,5.88,5.14
OML 26,Shell,Onshore licensed,ANEIZE,developed,Oil or Oil/Gas,5.9,5.18
OML 26,Shell,Onshore licensed,OKPAI,developed,Oil or Oil/Gas,5.88,5.22
OML 61,Shell,Onshore licensed,UZERE,developed,Oil or Oil/Gas,5.92,5.05
OML 61,Shell,Onshore licensed,UZERE EAST,developed,Oil or Oil/Gas,5.95,5.07
OML 61,Shell,Onshore licensed,OLOMORO,developed,Oil or Oil/Gas,5.88,5.05
OML 29,Shell,Onshore licensed,OLOIBIRI,developed,Oil or Oil/Gas,6.15,4.92
OML 29,Shell,Onshore licensed,OKOROBA,developed,Oil or Oil/Gas,6.18,4.97
OML 29,Shell,Onshore licensed,OBAMA,developed,Oil or Oil/Gas,6.12,4.9
OML 29,Shell,Onshore licensed,KOLO CREEK,developed,Oil or Oil/Gas,6.2,4.95
OML 54,Chevron,Onshore licensed,KOLO CREEK,developed,Oil or Oil/Gas,6.22,4.92
OML 28,Shell,Onshore licensed,SANTA BARBARA,developed,Oil or Oil/Gas,6.08,4.85
OML 28,Shell,Onshore licensed,BELEMA,developed,Oil or Oil/Gas,6.05,4.78
OML 28,Shell,Onshore licensed,NEMBE CREEK,developed,Oil or Oil/Gas,6.12,4.8
OML 33,Shell,Onshore licensed,NUN RIVER,developed,Oil or Oil/Gas,6.3,4.88
OML 33,Shell,Onshore licensed,OGBAINBIRI,developed,Oil or Oil/Gas,6.35,4.82
OML 33,Shell,Onshore licensed,OLOIBIRI,developed,Oil or Oil/Gas,6.17,4.88
OML 33,Shell,Onshore licensed,DIBU CREEK,developed,Oil or Oil/Gas,6.38,4.88
OML 65,NPDC,Onshore licensed,NEMBE CREEK,developed,Oil or Oil/Gas,6.43,4.78
OML 65,NPDC,Onshore licensed,ODEAMA CREEK,developed,Oil or Oil/Gas,6.45,4.72
OML 25,Shell,Onshore licensed,BELEMA,developed,Oil or Oil/Gas,6.03,4.8
OML 25,Shell,Onshore licensed,RUMUEKPE,developed,Oil or Oil/Gas,6.97,4.88
OML 32,Shell,Onshore licensed,TAYLOR CREEK,developed,Oil or Oil/Gas,6.45,5.05
OML 32,Shell,Onshore licensed,OBAGI,developed,Oil or Oil/Gas,6.4,5.0
OML 32,Shell,Onshore licensed,SAMABRI,developed,Oil or Oil/Gas,6.52,4.98
OML 31,Shell,Onshore licensed,TAYLOR CREEK,developed,Oil or Oil/Gas,6.52,5.12
OML 31,Shell,Onshore licensed,ADIBAWA,developed,Oil or Oil/Gas,6.48,5.15
OML 31,Shell,Onshore licensed,ZARAMA,developed,Oil or Oil/Gas,6.58,5.22
OML 22,Shell,Onshore licensed,ZARAMA,developed,Oil or Oil/Gas,6.65,5.22
OML 22,Shell,Onshore licensed,TELEBOU,developed,Oil or Oil/Gas,6.6,5.18
OML 22,Shell,Onshore licensed,ENWE,developed,Oil or Oil/Gas,6.68,5.18
OML 63,Shell,Onshore licensed,GBARAN,developed,Oil or Oil/Gas,6.48,5.28
OML 63,Shell,Onshore licensed,NUN RIVER,developed,Oil or Oil/Gas,6.4,5.22
OML 21,Shell,Onshore licensed,OLO,developed,Oil or Oil/Gas,6.88,5.23
OML 23,Shell,Onshore licensed,OBAGI,developed,Oil or Oil/Gas,6.75,5.05
OML 23,Shell,Onshore licensed,OKOROBA,developed,Oil or Oil/Gas,6.78,5.02
OML 46,Shell,Onshore licensed,TUNU,developed,Oil or Oil/Gas,5.72,5.05
OML 46,Shell,Onshore licensed,CLOUGH CREEK,developed,Oil or Oil/Gas,5.78,5.0
OML 46,Shell,Onshore licensed,AZUZUAMA,developed,Oil or Oil/Gas,5.73,4.98
OML 46,Shell,Onshore licensed,EJA,undeveloped,Oil or Oil/Gas,5.65,5.08
OML 46,Shell,Onshore licensed,EA,undeveloped,Oil or Oil/Gas,5.62,5.05
OML 62,Eni,Onshore licensed,OGBOTORO,developed,Oil or Oil/Gas,5.62,5.18
OML 62,Eni,Onshore licensed,BENISEDE,developed,Oil or Oil/Gas,5.58,5.2
OML 62,Eni,Onshore licensed,ANGALALEI,developed,Oil or Oil/Gas,5.55,5.22
OML 62,Eni,Onshore licensed,OPUKUSHI,developed,Oil or Oil/Gas,5.52,5.2
OML 62,Eni,Onshore licensed,AJAITION,developed,Oil or Oil/Gas,5.5,5.18
OML 59,ConOil,Onshore licensed,BENBOYE,developed,Oil or Oil/Gas,5.92,4.88
OML 59,ConOil,Onshore licensed,Ewe,undeveloped,Oil or Oil/Gas,5.88,4.85
OML 17,Shell,Onshore licensed,OTAMINI,developed,Oil or Oil/Gas,7.08,5.12
OML 17,Shell,Onshore licensed,UMUECHEM,developed,Oil or Oil/Gas,7.03,5.05
OML 17,Shell,Onshore licensed,AGBADA,developed,Oil or Oil/Gas,7.0,5.08
OML 17,Shell,Onshore licensed,NKALI,developed,Oil or Oil/Gas,7.07,5.08
OML 17,Shell,Onshore licensed,OBELE,developed,Oil or Oil/Gas,6.98,5.15
OML 17,Shell,Onshore licensed,OLO,developed,Oil or Oil/Gas,6.97,5.18
OML 17,Shell,Onshore licensed,OBIGBO NORTH,developed,Oil or Oil/Gas,7.05,5.0
OML 16,Shell,Onshore licensed,AHIA,developed,Gas or Gas/Condensate,7.15,5.08
OML 16,Shell,Onshore licensed,ASSA,developed,Oil or Oil/Gas,7.12,5.12
OML 11,Shell,Onshore licensed,IMO RIVER,developed,Oil or Oil/Gas,7.22,5.02
OML 11,Shell,Onshore licensed,OZA,developed,Gas or Gas/Condensate,7.25,5.0
OML 11,Shell,Onshore licensed,OBIGBO NORTH,developed,Oil or Oil/Gas,7.2,4.98
OML 52,Shell,Onshore licensed,OPOBO SOUTH,developed,Oil or Oil/Gas,7.32,4.82
OML 51,Chevron,Onshore licensed,,,,7.2,4.85
OML 13,Shell,Onshore licensed,UTAPATE SOUTH,developed,Oil or Oil/Gas,7.52,4.95
OML 13,Shell,Onshore licensed,AFAM,developed,Oil or Oil/Gas,7.15,4.8
OML 13,Shell,Onshore licensed,AFAM UMU,developed,Oil or Oil/Gas,7.17,4.82
OML 13,Shell,Onshore licensed,OBEAKPU,developed,Oil or Oil/Gas,7.18,4.8
OML 13,Shell,Onshore licensed,BOMU,developed,Oil or Oil/Gas,7.08,4.78
OML 13,Shell,Onshore licensed,KOROKORO,developed,Oil or Oil/Gas,7.12,4.8
OML 13,Shell,Onshore licensed,YORLA,undeveloped,Oil or Oil/Gas,7.1,4.75
OML 13,Shell,Onshore licensed,YORLA SOUTH,undeveloped,Oil or Oil/Gas,7.08,4.73
OML 13,Shell,Onshore licensed,BOSO WEST,undeveloped,Oil or Oil/Gas,7.05,4.7
OML 53,Chevron,Onshore licensed,OJISIKE,developed,Oil or Oil/Gas,7.55,5.12
OML 53,Chevron,Onshore licensed,EGBEMA,developed,Gas or Gas/Condensate,7.48,5.08
OML 67,ExxonMobil,Onshore licensed,ISOBO,developed,Oil or Oil/Gas,7.97,4.78
OML 67,ExxonMobil,Onshore licensed,MFEM,developed,Oil or Oil/Gas,8.0,4.76
OML 67,ExxonMobil,Onshore licensed,UNAN,developed,Oil or Oil/Gas,8.02,4.8
OML 67,ExxonMobil,Onshore licensed,UBIT,developed,Oil or Oil/Gas,8.05,4.78
OML 67,ExxonMobil,Onshore licensed,IYAK,developed,Oil or Oil/Gas,8.03,4.72
OML 67,ExxonMobil,Onshore licensed,IYAK SE,developed,Oil or Oil/Gas,8.05,4.7
OML 67,ExxonMobil,Onshore licensed,EKU,developed,Oil or Oil/Gas,8.0,4.72
OML 67,ExxonMobil,Onshore licensed,MIMBI,developed,Oil or Oil/Gas,8.08,4.68
OML 67,ExxonMobil,Onshore licensed,EBODO,developed,Oil or Oil/Gas,7.97,4.65
OML 67,ExxonMobil,Onshore licensed,JATIJIM,developed,Oil or Oil/Gas,8.1,4.75
OML 67,ExxonMobil,Onshore licensed,UTUE,developed,Oil or Oil/Gas,8.08,4.63
OML 69,ExxonMobil,Offshore licensed,INANGA,developed,Oil or Oil/Gas,7.82,4.68
OML 69,ExxonMobil,Offshore licensed,IDOHO,developed,Oil or Oil/Gas,7.85,4.65
OML 68,ExxonMobil,Offshore licensed,IKIKE,developed,Oil or Oil/Gas,7.78,4.62
OML 70,ExxonMobil,Offshore licensed,USARI,developed,Oil or Oil/Gas,7.55,4.48
OML 70,ExxonMobil,Offshore licensed,EKPE,developed,Oil or Oil/Gas,7.52,4.52
OML 70,ExxonMobil,Offshore licensed,ADUA,developed,Oil or Oil/Gas,7.58,4.45
OML 70,ExxonMobil,Offshore licensed,ENANG,developed,Oil or Oil/Gas,7.62,4.48
OML 104,ExxonMobil,Onshore licensed,EDIKAN,developed,Oil or Oil/Gas,7.85,4.38
OML 104,ExxonMobil,Onshore licensed,ARAWA,developed,Oil or Oil/Gas,7.88,4.42
OML 100,Total,Onshore licensed,ODODIU,developed,Oil or Oil/Gas,8.05,4.38
OML 100,Total,Onshore licensed,AFIA,developed,Oil or Oil/Gas,8.02,4.35
OML 100,Total,Onshore licensed,IME,developed,Oil or Oil/Gas,8.08,4.35
OML 100,Total,Onshore licensed,EKANGA,developed,Oil or Oil/Gas,8.05,4.3
OML 100,Total,Onshore licensed,NKARIKA,developed,Oil or Oil/Gas,8.08,4.27
OML 102,Total,Onshore licensed,OFON,developed,Oil or Oil/Gas,8.12,4.42
OML 102,Total,Onshore licensed,EDOP,developed,Oil or Oil/Gas,8.1,4.38
OML 102,Total,Onshore licensed,ASASA,developed,Oil or Oil/Gas,8.08,4.45
OML 102,Total,Onshore licensed,ASABO,developed,Oil or Oil/Gas,8.07,4.48
OML 71,Shell,Onshore licensed,YOHO,developed,Oil or Oil/Gas,7.47,4.42
OML 71,Shell,Onshore licensed,EDIKAN,developed,Oil or Oil/Gas,7.52,4.38
OML 115,Oriental,Offshore licensed,,,,8.05,4.22
OML 119,Eni,Offshore licensed,OKONO,developed,Oil or Oil/Gas,7.7,4.22
OML 99,Total,Offshore licensed,,,,7.72,4.35
OML 221,Total,Offshore licensed,ADAKA,developed,Oil or Oil/Gas,7.78,4.25
OML 77,Emerald,Offshore licensed,,,,6.35,4.32
OML 83,Chevron,Offshore licensed,,,,6.25,4.15
